APOGEE_ID,GLON,GLAT,RA,DEC,VHELIO_AVG,LOGG,TEFF,PMRA,PMDEC,AL_H,NA_H,O_H,MG_H,C_H,N_H,V_H,TI_H,CA_H,FE_H,K_H,MN_H,NI_H,SI_H,S_H,SNR,cluster_name,label
2M11483346-1022069,278.692980332,49.520796376,177.139442,-10.368597,143.942001343,2.9290035522,5061.17875739,-9.60000038147,4.90000009537,-0.473193476352,-1.09168656441,-0.324435840251,-0.498614036869,-0.323779847772,-0.675294617673,-0.700035330882,-0.446871718204,-0.543076575827,-0.53051929637,-0.604837121366,-0.565037668833,-0.572338416564,-0.355577989922,-0.266798565932,299.063995361,background,-1
2M11483413-1235175,279.915820781,47.4543709268,177.142249,-12.5882,-19.8519001007,3.39401865116,4446.00752814,62.0,-46.0,-0.175844573942,0.0479080730498,-0.0642860120809,0.106032854884,-0.188232930393,0.0457040777465,-0.512239644666,-0.205930096921,0.0269002964029,-0.154767316436,-0.197607802303,-0.0785223527928,-0.171027917625,-0.0936871498112,0.0545482101385,155.037002563,background,-1
2M11484614-1011023,278.66157853,49.7114906124,177.192255,-10.183995,22.5923995972,3.57241449101,5016.24805064,-26.2000007629,-1.0,-0.0328826436175,-0.107845928274,-0.138519687997,-0.0379733707086,-0.0525191162106,-0.431545100532,-0.334671525551,-0.176773680522,-0.0945945388999,-0.16428396098,-0.240581927768,-0.164405665112,-0.178319150537,-0.0711648179529,-0.0283995531664,99.7287979126,background,-1
2M11490227-0208108,273.280010525,57.0988321921,177.259494,-2.136354,123.442001343,3.01905045752,4803.79597867,-18.1000003815,2.59999990463,-0.066004384986,-0.278182322034,-0.229074645219,-0.254134578721,-0.014089684809,0.0332073203052,-0.583692399808,-0.32101382606,-0.433421420588,-0.416466527097,-0.388812969456,-0.452383555983,-0.414618144929,-0.158216371437,-0.127774106101,76.3199005127,background,-1
2M11490755-1016447,278.842053577,49.655679521,177.281461,-10.279091,24.8474006653,2.21088098852,4411.68430311,-19.6000003815,-3.0,0.201557256378,0.155976330477,0.192359068557,0.11519237603,0.155119181485,0.305976136531,0.00306961018529,0.285302457863,0.0581251094723,0.104003854889,-0.124453213292,0.271507123657,0.131155626465,0.193451526755,0.178349220427,404.022003174,background,-1
2M11491252+1901002,239.229773104,73.5703835857,177.302192,19.016741,-25.266500473,2.43211634851,4881.26775174,-3.59999990463,-8.10000038147,-1.49464299512,-0.964348354838,-1.10762615318,-0.974519735878,-1.46057643512,-1.0957201238,-1.63258377259,-1.32041383374,-1.1735262289,-1.3279581164,-1.35327863011,-1.43148647217,-1.48086088828,-1.00868255013,-0.901200883825,77.4826965332,background,-1
2M11500810+0122064,270.657784048,60.3407404503,177.533776,1.368471,832.987976074,1.97977975883,4745.66890469,-6.0,-32.0,-2.0196566448,-1.84191629395,-1.54481388427,-1.69357804552,-1.91493204593,-1.56344645684,-2.13469667447,-1.67719396132,-1.59615988983,-1.7360468553,-1.88978802701,-1.87066784493,-1.82438889195,-1.60318074221,-1.32794509087,82.9423980713,background,-1
2M11501044+5615047,139.423078829,58.8722844527,177.543531,56.251324,-45.4382019043,1.84890460914,4685.63595581,-4.0,-2.0,-1.36111197658,-1.13703668213,-0.990786806286,-1.16521510918,-1.53572787245,-0.997444678134,-1.73160401572,-1.28334073296,-1.22757859487,-1.35198628344,-1.39112563459,-1.46497972712,-1.38145831659,-0.938023956086,-0.827627845763,152.511993408,background,-1
2M11501052+5537596,139.97527375,59.4217013182,177.543871,55.633224,5.09926986694,2.49314439836,4099.55454512,0.0,0.0,-0.726529050719,-0.399666669532,-0.645807398709,-0.654872730425,-0.890393094451,-0.67929590421,-1.28963013957,-0.883675105325,-0.638367867996,-0.857566482368,-0.718314280615,-0.971646045676,-0.92910397955,-0.719725894062,-0.23596956155,239.940994263,background,-1
2M11502199+0027057,271.618503117,59.5580739459,177.591653,0.451611,-6.83952999115,4.00922264157,5356.80434725,-15.3999996185,5.09999990463,-0.366413886125,-0.252505774739,-0.321581990846,-0.231104021325,-0.226580659242,-0.806590863004,-0.108440772981,-0.459674936508,-0.431087546401,-0.404128275621,-0.542439517022,-0.345942684613,-0.41018240884,-0.307541042415,-0.146259439569,110.76599884,background,-1
